"name","rank","change_in_rank","companyRevenue","companyProfit","companySize"
"Best Buy","68","-2","[{""revenues"":""51761.0"",""revenuePercentChange"":""9.5""}]","[{""profits"":""2454.0"",""profitPercentChange"":""36.5""}]","[{""assets"":""17504.0"",""marketValue"":""20473.2"",""employeeCount"":""81375""}]"
"Charter Communications","69","-5","[{""revenues"":""51682.0"",""revenuePercentChange"":""7.5""}]","[{""profits"":""4654.0"",""profitPercentChange"":""44.4""}]","[{""assets"":""142491.0"",""marketValue"":""112803.4"",""employeeCount"":""93700""}]"
"Sysco","70","-10","[{""revenues"":""51297.8"",""revenuePercentChange"":""-3.0""}]","[{""profits"":""524.2"",""profitPercentChange"":""143.3""}]","[{""assets"":""21413.5"",""marketValue"":""41433.1"",""employeeCount"":""57710""}]"
"Merck","71","-6","[{""revenues"":""51216.0"",""revenuePercentChange"":""6.7""}]","[{""profits"":""13049.0"",""profitPercentChange"":""84.6""}]","[{""assets"":""105694.0"",""marketValue"":""207400.5"",""employeeCount"":""67500""}]"
"New York Life Insurance","72","-5","[{""revenues"":""51198.5"",""revenuePercentChange"":""9.6""}]","[{""profits"":""277.1"",""profitPercentChange"":""0.0""}]","[{""assets"":""379984.6"",""marketValue"":""0.0"",""employeeCount"":""14344""}]"
"Caterpillar","73","5","[{""revenues"":""50971.0"",""revenuePercentChange"":""22.1""}]","[{""profits"":""6489.0"",""profitPercentChange"":""116.4""}]","[{""assets"":""82793.0"",""marketValue"":""119406.6"",""employeeCount"":""107700""}]"
"Cisco Systems","74","-11","[{""revenues"":""49818.0"",""revenuePercentChange"":""1.0""}]","[{""profits"":""10591.0"",""profitPercentChange"":""-5.6""}]","[{""assets"":""97497.0"",""marketValue"":""231636.4"",""employeeCount"":""79500""}]"
"TJX","75","22","[{""revenues"":""48550.0"",""revenuePercentChange"":""51.1""}]","[{""profits"":""3282.8"",""profitPercentChange"":""3528.6""}]","[{""assets"":""28461.5"",""marketValue"":""71195.3"",""employeeCount"":""340000""}]"
"Publix Super Markets","76","-7","[{""revenues"":""48393.9"",""revenuePercentChange"":""7.1""}]","[{""profits"":""4412.2"",""profitPercentChange"":""11.1""}]","[{""assets"":""31524.3"",""marketValue"":""0.0"",""employeeCount"":""232000""}]"
"ConocoPhillips","77","79","[{""revenues"":""48349.0"",""revenuePercentChange"":""151.1""}]","[{""profits"":""8079.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""90661.0"",""marketValue"":""129605.1"",""employeeCount"":""9900""}]"
"Liberty Mutual Insurance Group","78","-7","[{""revenues"":""48200.0"",""revenuePercentChange"":""10.1""}]","[{""profits"":""3068.0"",""profitPercentChange"":""304.7""}]","[{""assets"":""156043.0"",""marketValue"":""0.0"",""employeeCount"":""45000""}]"
"Progressive","79","-5","[{""revenues"":""47702.0"",""revenuePercentChange"":""11.8""}]","[{""profits"":""3350.9"",""profitPercentChange"":""-41.3""}]","[{""assets"":""71132.3"",""marketValue"":""66670.3"",""employeeCount"":""49077""}]"
"Nationwide","80","-4","[{""revenues"":""47376.0"",""revenuePercentChange"":""13.0""}]","[{""profits"":""1617.2"",""profitPercentChange"":""0.0""}]","[{""assets"":""278412.2"",""marketValue"":""0.0"",""employeeCount"":""24134""}]"
"Tyson Foods","81","-8","[{""revenues"":""47049.0"",""revenuePercentChange"":""8.9""}]","[{""profits"":""3047.0"",""profitPercentChange"":""47.8""}]","[{""assets"":""36309.0"",""marketValue"":""32487.8"",""employeeCount"":""137000""}]"
"Bristol-Myers Squibb","82","-7","[{""revenues"":""46385.0"",""revenuePercentChange"":""9.1""}]","[{""profits"":""6994.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""109314.0"",""marketValue"":""155203.5"",""employeeCount"":""32200""}]"
"Nike","83","2","[{""revenues"":""44538.0"",""revenuePercentChange"":""19.1""}]","[{""profits"":""5727.0"",""profitPercentChange"":""125.6""}]","[{""assets"":""37740.0"",""marketValue"":""212779.1"",""employeeCount"":""73300""}]"
"Deere","84","4","[{""revenues"":""44024.0"",""revenuePercentChange"":""23.9""}]","[{""profits"":""5963.0"",""profitPercentChange"":""116.8""}]","[{""assets"":""84114.0"",""marketValue"":""127456.6"",""employeeCount"":""75550""}]"
"American Express","85","-2","[{""revenues"":""43663.0"",""revenuePercentChange"":""14.3""}]","[{""profits"":""8060.0"",""profitPercentChange"":""157.1""}]","[{""assets"":""188548.0"",""marketValue"":""141613.0"",""employeeCount"":""64000""}]"
"Abbott Laboratories","86","3","[{""revenues"":""43075.0"",""revenuePercentChange"":""24.5""}]","[{""profits"":""7071.0"",""profitPercentChange"":""57.3""}]","[{""assets"":""75196.0"",""marketValue"":""208725.8"",""employeeCount"":""113000""}]"
"StoneX Group","87","-29","[{""revenues"":""42534.2"",""revenuePercentChange"":""-21.4""}]","[{""profits"":""116.3"",""profitPercentChange"":""-31.4""}]","[{""assets"":""18839.6"",""marketValue"":""1494.4"",""employeeCount"":""3242""}]"
"Plains GP Holdings","88","39","[{""revenues"":""42078.0"",""revenuePercentChange"":""80.7""}]","[{""profits"":""60.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""29978.0"",""marketValue"":""2242.9"",""employeeCount"":""4100""}]"
"Enterprise Products Partners","89","16","[{""revenues"":""40806.9"",""revenuePercentChange"":""50.0""}]","[{""profits"":""4637.7"",""profitPercentChange"":""22.8""}]","[{""assets"":""67525.6"",""marketValue"":""56172.4"",""employeeCount"":""6911""}]"
"TIAA","90","-11","[{""revenues"":""40526.4"",""revenuePercentChange"":""-2.6""}]","[{""profits"":""4060.7"",""profitPercentChange"":""627.6""}]","[{""assets"":""698190.8"",""marketValue"":""0.0"",""employeeCount"":""15065""}]"
"Oracle","91","-11","[{""revenues"":""40479.0"",""revenuePercentChange"":""3.6""}]","[{""profits"":""13746.0"",""profitPercentChange"":""35.6""}]","[{""assets"":""131107.0"",""marketValue"":""220736.6"",""employeeCount"":""132000""}]"
"Thermo Fisher Scientific","92","3","[{""revenues"":""39211.0"",""revenuePercentChange"":""21.7""}]","[{""profits"":""7725.0"",""profitPercentChange"":""21.2""}]","[{""assets"":""95123.0"",""marketValue"":""231057.4"",""employeeCount"":""129000""}]"
"Coca-Cola","93","0","[{""revenues"":""38655.0"",""revenuePercentChange"":""17.1""}]","[{""profits"":""9771.0"",""profitPercentChange"":""26.1""}]","[{""assets"":""94354.0"",""marketValue"":""268769.7"",""employeeCount"":""79000""}]"
"General Dynamics","94","-10","[{""revenues"":""38469.0"",""revenuePercentChange"":""1.4""}]","[{""profits"":""3257.0"",""profitPercentChange"":""2.8""}]","[{""assets"":""50073.0"",""marketValue"":""67081.0"",""employeeCount"":""103100""}]"
"CHS","95","8","[{""revenues"":""38448.0"",""revenuePercentChange"":""35.4""}]","[{""profits"":""554.0"",""profitPercentChange"":""31.1""}]","[{""assets"":""17576.3"",""marketValue"":""0.0"",""employeeCount"":""9941""}]"
"USAA","96","-9","[{""revenues"":""37469.6"",""revenuePercentChange"":""3.2""}]","[{""profits"":""3300.0"",""profitPercentChange"":""-15.5""}]","[{""assets"":""210676.5"",""marketValue"":""0.0"",""employeeCount"":""37335""}]"
